2024-02-27T10:15:12.355Z  INFO 15396 --- [main] c.g.c.CrudetudiantApplication            : Starting CrudetudiantApplication using Java 17.0.6 with PID 15396 (D:\crudetudiant\target\classes started by MoussaDIALLO in D:\crudetudiant)
2024-02-27T10:15:12.368Z  INFO 15396 --- [main] c.g.c.CrudetudiantApplication            : No active profile set, falling back to 1 default profile: "default"
2024-02-27T10:15:14.334Z  INFO 15396 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-27T10:15:14.491Z  INFO 15396 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 124 ms. Found 1 JPA repository interface.
2024-02-27T10:15:15.710Z  INFO 15396 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8089 (http)
2024-02-27T10:15:15.735Z  INFO 15396 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-02-27T10:15:15.735Z  INFO 15396 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-02-27T10:15:15.890Z  INFO 15396 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-02-27T10:15:15.891Z  INFO 15396 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3432 ms
2024-02-27T10:15:16.283Z  INFO 15396 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-27T10:15:16.417Z  INFO 15396 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.1.Final
2024-02-27T10:15:16.487Z  INFO 15396 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-02-27T10:15:16.694Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2478b629
2024-02-27T10:15:16.695Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2478b629
2024-02-27T10:15:16.696Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@2478b629
2024-02-27T10:15:16.697Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@39023dbf
2024-02-27T10:15:16.697Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@39023dbf
2024-02-27T10:15:16.697Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@1a2ac487
2024-02-27T10:15:16.697Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@1a2ac487
2024-02-27T10:15:16.698Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@570a62a5
2024-02-27T10:15:16.698Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@570a62a5
2024-02-27T10:15:16.698Z DEBUG 15396 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@36224f93
